Date ,Branch,Inv. No.,Item Code,Sales Qty.,State,Status,Star rating,Tonnage,Technology
07-02-2022 00:00,CHENNAI,2129008608,RKM35UV16W,1,Tamil Nadu,Continue,5 Star,1,Non Inv
07-02-2022 00:00,CHENNAI,2133017827,RKM50UV16U,2,Tamil Nadu,Continue,5 Star,1.5,Inv
07-02-2022 00:00,CHENNAI,2133017828,RKM50UV16U,2,Tamil Nadu,Continue,5 Star,1.5,Inv
07-02-2022 00:00,CHENNAI,2133017829,RKM50UV16U,1,Tamil Nadu,Continue,5 Star,1.5,Inv
07-02-2022 00:00,CHENNAI,2133017830,RKM50UV16U,1,Tamil Nadu,Continue,5 Star,1.5,Inv
07-02-2022 00:00,CHENNAI,2133017831,RKM50UV16U,1,Tamil Nadu,Continue,5 Star,1.5,Inv
07-02-2022 00:00,CHENNAI,2133017832,RKM50UV16U,1,Tamil Nadu,Continue,5 Star,1.5,Inv
07-02-2022 00:00,CHENNAI,2133017833,RKM50UV16U,1,Tamil Nadu,Continue,5 Star,1.5,Inv
07-02-2022 00:00,CHENNAI,2133017815,RL35UV16W1,15,Tamil Nadu,Continue,3 Star,1,Non Inv
07-02-2022 00:00,CHENNAI,2133017817,RL35UV16W1,3,Tamil Nadu,Continue,3 Star,1,Non Inv
07-02-2022 00:00,CHENNAI,2133017818,RL35UV16W1,5,Tamil Nadu,Continue,3 Star,1,Non Inv
07-02-2022 00:00,CHENNAI,2133017819,RL35UV16W1,3,Tamil Nadu,Continue,3 Star,1,Non Inv
07-02-2022 00:00,CHENNAI,2133017824,RL35UV16W1,9,Tamil Nadu,Continue,3 Star,1,Non Inv
07-02-2022 00:00,CHENNAI,2133017827,RL35UV16W1,1,Tamil Nadu,Continue,3 Star,1,Non Inv
07-02-2022 00:00,CHENNAI,2133017831,RL35UV16W1,1,Tamil Nadu,Continue,3 Star,1,Non Inv
07-02-2022 00:00,CHENNAI,2133017817,RL50UV16V3,7,Tamil Nadu,Continue,3 Star,1.5,Non Inv
07-02-2022 00:00,CHENNAI,2133017818,RL50UV16V3,10,Tamil Nadu,Continue,3 Star,1.5,Non Inv
07-02-2022 00:00,CHENNAI,2133017819,RL50UV16V3,6,Tamil Nadu,Continue,3 Star,1.5,Non Inv
07-02-2022 00:00,CHENNAI,2133017824,RL50UV16V3,13,Tamil Nadu,Continue,3 Star,1.5,Non Inv
07-02-2022 00:00,CHENNAI,2133017827,RL50UV16V3,2,Tamil Nadu,Continue,3 Star,1.5,Non Inv
07-02-2022 00:00,CHENNAI,2133017831,RL50UV16V3,2,Tamil Nadu,Continue,3 Star,1.5,Non Inv
08-02-2022 00:00,CHENNAI,2133017878,RKL35UV16W,1,Tamil Nadu,Continue,3 Star,1,Inv
08-02-2022 00:00,CHENNAI,2133017879,RKL35UV16W,3,Tamil Nadu,Continue,3 Star,1,Inv
08-02-2022 00:00,CHENNAI,2133017845,RKL50UV16V,1,Tamil Nadu,Continue,3 Star,1.5,Inv
08-02-2022 00:00,CHENNAI,2133017877,RKL50UV16V,2,Tamil Nadu,Continue,3 Star,1.5,Inv
08-02-2022 00:00,CHENNAI,2133017879,RKL50UV16V,4,Tamil Nadu,Continue,3 Star,1.5,Inv
08-02-2022 00:00,CHENNAI,2133017880,RKL50UV16V,1,Tamil Nadu,Continue,3 Star,1.5,Inv
08-02-2022 00:00,CHENNAI,2133017879,RKL71UV16T,1,Tamil Nadu,Continue,3 Star,2.2,Inv
08-02-2022 00:00,CHENNAI,2133017880,RKL71UV16T,1,Tamil Nadu,Continue,3 Star,2.2,Inv
08-02-2022 00:00,CHENNAI,2133017879,RKM50UV16U,2,Tamil Nadu,Continue,5 Star,1.5,Inv
08-02-2022 00:00,CHENNAI,2133017881,RKY50UV16U3,1,Tamil Nadu,Continue,#N/A,#N/A,#N/A
08-02-2022 00:00,CHENNAI,2133017861,RL50UV16V3,4,Tamil Nadu,Continue,3 Star,1.5,Non Inv
08-02-2022 00:00,CHENNAI,2133017877,RL50UV16V3,2,Tamil Nadu,Continue,3 Star,1.5,Non Inv
09-02-2022 00:00,CHENNAI,2133017894,RKL35UV16W,3,Tamil Nadu,Continue,3 Star,1,Inv
09-02-2022 00:00,CHENNAI,2133017914,RKL35UV16W,3,Tamil Nadu,Continue,3 Star,1,Inv
09-02-2022 00:00,CHENNAI,2133017973,RKL35UV16W,5,Tamil Nadu,Continue,3 Star,1,Inv
09-02-2022 00:00,CHENNAI,2133017975,RKL35UV16W,5,Tamil Nadu,Continue,3 Star,1,Inv
09-02-2022 00:00,CHENNAI,2133017976,RKL35UV16W,10,Tamil Nadu,Continue,3 Star,1,Inv
09-02-2022 00:00,CHENNAI,2133017977,RKL35UV16W,5,Tamil Nadu,Continue,3 Star,1,Inv
09-02-2022 00:00,CHENNAI,2133017978,RKL35UV16W,5,Tamil Nadu,Continue,3 Star,1,Inv
09-02-2022 00:00,CHENNAI,2133017979,RKL35UV16W,10,Tamil Nadu,Continue,3 Star,1,Inv
09-02-2022 00:00,CHENNAI,2133017980,RKL35UV16W,5,Tamil Nadu,Continue,3 Star,1,Inv
09-02-2022 00:00,CHENNAI,2133017981,RKL35UV16W,5,Tamil Nadu,Continue,3 Star,1,Inv
09-02-2022 00:00,CHENNAI,2133017982,RKL35UV16W,20,Tamil Nadu,Continue,3 Star,1,Inv
09-02-2022 00:00,CHENNAI,2133017983,RKL35UV16W,3,Tamil Nadu,Continue,3 Star,1,Inv
09-02-2022 00:00,CHENNAI,2133017914,RKL50UV16V,5,Tamil Nadu,Continue,3 Star,1.5,Inv
09-02-2022 00:00,CHENNAI,2133017973,RKL50UV16V,10,Tamil Nadu,Continue,3 Star,1.5,Inv
09-02-2022 00:00,CHENNAI,2133017974,RKL50UV16V,1,Tamil Nadu,Continue,3 Star,1.5,Inv
09-02-2022 00:00,CHENNAI,2133017975,RKL50UV16V,5,Tamil Nadu,Continue,3 Star,1.5,Inv
09-02-2022 00:00,CHENNAI,2133017976,RKL50UV16V,10,Tamil Nadu,Continue,3 Star,1.5,Inv
09-02-2022 00:00,CHENNAI,2133017977,RKL50UV16V,5,Tamil Nadu,Continue,3 Star,1.5,Inv
09-02-2022 00:00,CHENNAI,2133017978,RKL50UV16V,5,Tamil Nadu,Continue,3 Star,1.5,Inv
09-02-2022 00:00,CHENNAI,2133017979,RKL50UV16V,10,Tamil Nadu,Continue,3 Star,1.5,Inv
09-02-2022 00:00,CHENNAI,2133017980,RKL50UV16V,5,Tamil Nadu,Continue,3 Star,1.5,Inv
09-02-2022 00:00,CHENNAI,2133017981,RKL50UV16V,10,Tamil Nadu,Continue,3 Star,1.5,Inv
09-02-2022 00:00,CHENNAI,2133017982,RKL50UV16V,20,Tamil Nadu,Continue,3 Star,1.5,Inv
09-02-2022 00:00,CHENNAI,2133017983,RKL50UV16V,3,Tamil Nadu,Continue,3 Star,1.5,Inv
09-02-2022 00:00,CHENNAI,2133017914,RKL60UV16U,3,Tamil Nadu,Continue,3 Star,1.8,Inv
09-02-2022 00:00,CHENNAI,2133017956,RKL60UV16U,14,Tamil Nadu,Continue,3 Star,1.8,Inv
09-02-2022 00:00,CHENNAI,2136015085,RKL60UV16U,5,Tamil Nadu,Continue,3 Star,1.8,Inv
09-02-2022 00:00,CHENNAI,2136015086,RKL60UV16U,3,Tamil Nadu,Continue,3 Star,1.8,Inv
09-02-2022 00:00,CHENNAI,2133017914,RKL71UV16T,3,Tamil Nadu,Continue,3 Star,2.2,Inv
09-02-2022 00:00,CHENNAI,2133017929,RKL71UV16T,5,Tamil Nadu,Continue,3 Star,2.2,Inv
09-02-2022 00:00,CHENNAI,2133017895,RKM50UV16U,1,Tamil Nadu,Continue,5 Star,1.5,Inv
09-02-2022 00:00,CHENNAI,2133017904,RKY50UV16U3,1,Tamil Nadu,Continue,#N/A,#N/A,#N/A
09-02-2022 00:00,CHENNAI,2133017914,RL35UV16W1,2,Tamil Nadu,Continue,3 Star,1,Non Inv
09-02-2022 00:00,CHENNAI,2133017914,RL50UV16V3,2,Tamil Nadu,Continue,3 Star,1.5,Non Inv
10-02-2022 00:00,CHENNAI,2133017998,RKL35UV16W,3,Tamil Nadu,Continue,3 Star,1,Inv
